"","Year","BottomTrawl_CA","BottomTrawl_OR","BottomTrawl_WA","MidwaterTrawl_CA","MidwaterTrawl_OR","MidwaterTrawl_WA","Net_CA","Net_WA","HnL_CA","HnL_OR","HnL_WA"
"1",1971,0,0,0,0,0,2,0,0,0,0,0
"2",1977,0,0,0,25,0,0,0,0,0,0,0
"3",1978,50,0,0,0,0,0,10,0,0,0,0
"4",1979,32,0,0,0,0,0,4,0,3,0,0
"5",1980,101,0,0,6,0,19,0,0,1,0,1
"6",1981,72,3,0,59,20,31,0,0,6,0,0
"7",1982,88,7,0,89,34,41,1,0,11,0,0
"8",1983,158,16,0,46,10,25,18,0,9,0,0
"9",1984,146,20,0,29,12,22,25,0,4,0,0
"10",1985,149,20,0,25,35,16,81,0,5,0,0
"11",1986,108,17,0,25,28,27,59,0,16,0,0
"12",1987,88,29,0,49,74,36,37,0,3,0,0
"13",1988,79,30,7,37,42,14,43,0,2,0,0
"14",1989,81,49,14,30,67,16,81,0,7,0,0
"15",1990,80,58,11,39,62,30,74,0,8,0,0
"16",1991,74,76,20,17,63,15,23,0,12,0,0
"17",1992,55,98,22,5,41,9,31,0,53,1,0
"18",1993,60,69,28,5,49,8,19,0,39,0,0
"19",1994,54,67,13,2,21,16,34,0,38,0,0
"20",1995,53,47,17,11,14,16,14,0,7,0,0
"21",1996,49,33,17,11,12,13,4,0,10,0,0
"22",1997,54,49,16,10,21,19,2,0,20,0,0
"23",1998,41,43,26,3,11,8,5,0,15,0,0
"24",1999,38,28,21,5,19,11,1,0,3,1,0
"25",2000,14,0,3,16,44,19,0,0,8,1,0
"26",2001,12,6,2,10,38,11,0,0,2,3,0
"27",2002,22,8,7,1,15,10,1,0,2,0,0
"28",2003,7,0,1,0,0,5,0,0,0,0,0
"29",2004,5,1,1,0,0,12,0,0,0,0,0
"30",2005,4,2,0,0,0,10,0,0,1,0,0
"31",2006,7,3,2,0,0,8,0,0,4,1,0
"32",2007,7,16,4,0,0,3,0,0,4,1,0
"33",2008,5,18,5,0,0,12,0,0,2,0,0
"34",2009,19,30,0,0,0,14,0,0,0,0,0
"35",2010,18,22,1,0,0,11,0,0,0,2,0
"36",2011,6,14,9,0,1,6,0,0,1,0,0
"37",2012,14,19,5,0,4,7,0,0,3,1,0
"38",2013,20,21,1,0,6,6,0,0,9,1,0
"39",2014,18,20,3,0,5,7,0,0,12,2,0
"40",2015,37,23,0,0,18,4,0,0,9,7,2
"41",2016,27,14,0,0,7,1,0,0,2,4,2
"42",2017,22,41,0,3,33,3,0,0,5,2,3
"43",2018,31,25,7,10,60,4,0,0,3,4,7
"44",2019,34,33,1,2,48,12,0,0,7,3,2
"45",2020,29,18,0,2,31,5,0,0,13,8,1
"46",2021,42,18,2,4,39,7,0,0,10,2,0
"47",2022,13,10,0,12,46,4,0,0,2,5,2
"48",2023,20,7,0,7,51,7,0,0,3,7,5
"49",2024,27,13,0,0,52,9,0,0,16,9,4
