"Year","Management.action"
1982,"Establishment of a 75,000 pound trip limit on Widow Rockfish in October"
1983,"Per-trip and per-week limits implemented for Sebastes complex coastwide (north and south of 40° N)"
1984,"30,000 pound Widow Rockfish trip limit at the start of the year adjusted to 1,000 pound trip limit in September"
1984,"50,000 pound Widow Rockfish trip limit limited to once per week"
1984,"Trip limit lowered to 40,000 pounds once per week in May"
1984,"Directed fishery for Widow Rockfish closed in August and a full fishery closure in November"
1985,"30,000 pound trip limit once per week, or 60,000 pounds once every 2 weeks. Every 2 week option was rescinded in April"
1985,"Landings of Sebastes complex and Widow Rockfish smaller than 3,000 pounds unrestricted"
1985,"Widow Rockfish trip limit reduced to 3,000 pounds per trip without a trip frequency in July"
1986,"30,000 pound coastwide Widow Rockfish trip limit with no biweekly option"
1986,"Landings of Sebastes complex and Widow Rockfish smaller than 3,000 pounds unrestricted"
1986,"3,000 pound coastwide trip limit implemented in September when Widow Rockfish ABC reached"
1987,"30,000 pound coastwide Widow Rockfish trip limit with no biweekly option. Only one landing per week above 3,000 pounds."
1987,"Reduced Widow Rockfish trip limit to 5,000 pounds in October"
1987,"Closed the Widow Rockfish fishery in November"
1988,"30,000 pound coastwide Widow Rockfish trip limit with no biweekly option. Only one landing per week above 3,000 pounds."
1988,"Reduced Widow Rockfish trip limit to 3,000 pounds in October"
1989,"30,000 pound coastwide Widow Rockfish trip limit with no biweekly option. Only one landing per week above 3,000 pounds."
1989,"Reduced Widow Rockfish trip limit to 10,000 pounds in April"
1989,"Reduced Widow Rockfish trip limit to 3,000 pounds in October"
1990,"15,000 pound trip limit once per week, or 25,000 pounds once every 2 weeks. Only one landing per week above 3,000 pounds."
1990,"Closed the Widow Rockfish fishery in December"
1991,"10,000 pound trip limit once per week, or 20,000 pounds once every 2 weeks. Only one landing per period above 3,000 pounds."
1991,"Reduced Widow Rockfish trip limit to 3,000 pounds on my birthday in September"
1992,"30,000 pound coastwide Widow Rockfish trip limit per 4-week period. All landings apply to the 30,000 pounds."
1992,"Reduced Widow Rockfish trip limit to 3,000 pounds in August"
1992,"Re-established the 30,000 pound cumulative landing limit for December"
1993,"30,000 pound coastwide Widow Rockfish trip limit per 4-week period. All landings apply to the 30,000 pounds."
1993,"Reduced Widow Rockfish trip limit to 3,000 pounds in December"
1994,"Divided the commercial groundfish fishery in limited entry and open access fisheries."
1994,"30,000 pound cumulative Widow Rockfish limit per calendar month."
1994,"Reduced Widow Rockfish trip limit to 3,000 pounds in December"
1994,"Rockfish limit of 10,000 per vessel per trip in open access fisheries, not to exceed 30,000 pounds of Widow Rockfish (as in limited entry fisheries) cumulative per month."
1995,"30,000 pound cumulative Widow Rockfish limit per calendar month."
1995,"Monthly cumulative trip limit increased to 45,000 pounds for Widow Rockfish"
1996,"70,000 pound cumulative Widow Rockfish limit per two-month period."
1996,"Reduced cumulative two-month period Widow Rockfish limit to 40,000 pounds in September."
1996,"25,000 pound monthly cumulative limit implemented in November."
1997,"70,000 pound cumulative Widow Rockfish limit per two-month period."
1997,"Reduced cumulative two-month period Widow Rockfish limit to 60,000 pounds in May."
1998,"25,000 pound cumulative Widow Rockfish limit per two-month period."
1998,"Increased cumulative two-month period Widow Rockfish limit to 30,000 pounds in May."
1998,"Open access monthly cumulative trip limits reduced to 3,000 pounds in July."
1999,"Dividing line between north and south management areas moved to 40° 10' N."
