"area","year","est","lwr","upr","log_est","se","type"
"Coastwide",2003,3740.99687872265,1478.46452020032,9465.94081589218,8.22710740000475,0.473655671982706,"index"
"Coastwide",2004,1563.53503775772,475.354313569363,5142.77822775937,7.35470458646945,0.607482661204521,"index"
"Coastwide",2005,1816.16075214502,720.455354869356,4578.271027259,7.50448007514723,0.47174164067089,"index"
"Coastwide",2006,1559.78004507133,713.622908249452,3409.24283802881,7.35230009355346,0.398959070984626,"index"
"Coastwide",2007,1425.34349896251,657.521813580453,3089.78964358892,7.26216811555792,0.394747139034639,"index"
"Coastwide",2008,672.895253304514,269.979635751656,1677.11916737397,6.51158967608188,0.465948941038476,"index"
"Coastwide",2009,3026.95535402644,1459.77984953143,6276.60309067178,8.01531255966499,0.372084206687898,"index"
"Coastwide",2010,3078.67510541247,1435.98291746969,6600.52448352788,8.03225462284165,0.389114175174848,"index"
"Coastwide",2011,5191.82809991724,2512.80578635674,10727.0841087054,8.55484114919122,0.370254710770684,"index"
"Coastwide",2012,1424.49813612434,714.058250923804,2841.77787623975,7.26157484549509,0.352358669855078,"index"
"Coastwide",2013,9214.38821409888,3388.09238490184,25059.8096257591,9.12852147767741,0.510468132015761,"index"
"Coastwide",2014,4026.49141761263,1860.52012792187,8714.03264753556,8.30065065975751,0.393904836805139,"index"
"Coastwide",2015,2386.321939109,947.27434900907,6011.49223879006,7.77750852193347,0.471396298456487,"index"
"Coastwide",2016,19985.004457899,9565.33776884609,41754.9712131519,9.90273749420765,0.375943795788463,"index"
"Coastwide",2017,5609.330806328,2686.96138764522,11710.1020652906,8.63218670554208,0.375527546881882,"index"
"Coastwide",2018,7181.10386865006,3597.25533080281,14335.4441178442,8.87920839237698,0.352701362002933,"index"
"Coastwide",2019,5255.46187294245,2208.29770660844,12507.317023107,8.56702317154058,0.442378507554273,"index"
"Coastwide",2021,1149.56038943393,474.718358615342,2783.73284911502,7.04713487821602,0.451239505542157,"index"
"Coastwide",2022,1131.73493134804,455.083026533129,2814.48412741475,7.03150707175696,0.46481833377643,"index"
"Coastwide",2023,2273.2665147957,1123.8131768245,4598.39834045516,7.72897306941883,0.359440413766066,"index"
"Coastwide",2024,5428.9119862207,2764.35608328528,10661.826648289,8.59949402198931,0.344358887075907,"index"
"WA",2003,880.57679584913,335.784383180955,2309.26610118746,6.78057714258739,0.491900827229784,"index"
"WA",2004,362.268428949063,101.205943839561,1296.74611622881,5.89238545347217,0.650638468262624,"index"
"WA",2005,422.477025660858,148.41581475215,1202.61333005053,6.04613506818467,0.533743060061475,"index"
"WA",2006,364.139661276075,148.888001335225,890.586828522921,5.89753747887292,0.456305897209204,"index"
"WA",2007,333.402077817631,133.861782504822,830.385965382688,5.80934920250372,0.465590906736388,"index"
"WA",2008,155.088366660839,54.6802596626141,439.87357817856,5.043995061959,0.531893600887535,"index"
"WA",2009,717.99361140349,304.081709327457,1695.31678559819,6.57646067124191,0.438357149440143,"index"
"WA",2010,725.755288629386,294.532838036763,1788.32602328633,6.58721289000101,0.460121918499351,"index"
"WA",2011,1221.68632140905,504.342473753198,2959.33328163108,7.10798741398903,0.451402103428728,"index"
"WA",2012,333.305327382496,150.465452132404,738.325241357037,5.80905896893182,0.405785754894155,"index"
"WA",2013,2150.09796572871,676.770075538789,6830.85944447281,7.67326868553885,0.589774660132361,"index"
"WA",2014,959.261594820095,409.872274079474,2245.04770263716,6.86616381643487,0.433843804587051,"index"
"WA",2015,554.27847385085,190.313148035702,1614.31109592488,6.31766722083647,0.545416327165425,"index"
"WA",2016,4761.1893343225,1961.09465237359,11559.3216522361,8.4682527761674,0.45255662386211,"index"
"WA",2017,1317.65378925652,533.967110948813,3251.53267446933,7.18360800169176,0.4608624248898,"index"
"WA",2018,1692.09087363345,756.789552139514,3783.31270105298,7.43372024654514,0.410535622369651,"index"
"WA",2019,1262.773158015,472.887820253623,3372.0387379568,7.14106550053062,0.501135385342515,"index"
"WA",2021,266.10219864891,97.0771272350616,729.423934788723,5.58388044044072,0.514486316943539,"index"
"WA",2022,262.712979898022,94.316354611055,731.772449131623,5.57106210505604,0.522666491229463,"index"
"WA",2023,533.945635614927,225.668953926944,1263.34587381711,6.28029402781306,0.439408537525984,"index"
"WA",2024,1296.34204135661,565.721563031398,2970.54734697349,7.1673017628911,0.423068867783726,"index"
"OR",2003,1917.1578756504,715.896240549999,5134.1159681808,7.55859909523646,0.502592834348022,"index"
"OR",2004,809.401508407591,238.569649325866,2746.077733122,6.69629509605208,0.623294002989863,"index"
"OR",2005,936.925763426132,360.887697381796,2432.41842972262,6.84260405116603,0.486762632549022,"index"
"OR",2006,799.503909479072,348.874614205184,1832.19550877492,6.68399142216708,0.423109221739683,"index"
"OR",2007,729.382355065003,326.716387905542,1628.31936068654,6.5921980870551,0.409755288414341,"index"
"OR",2008,349.262220671555,135.906085987013,897.561708900086,5.85582298871045,0.481569504933788,"index"
"OR",2009,1537.6946195106,707.407715437409,3342.49216013967,7.33803957346539,0.396146253770175,"index"
"OR",2010,1576.54154534322,719.486681904823,3454.52293517501,7.36298883153558,0.400237362408619,"index"
"OR",2011,2665.64981847537,1282.69683203032,5539.64801136252,7.8882031412019,0.373212521472661,"index"
"OR",2012,735.122764646133,350.357368729613,1542.44074003772,6.60003751199486,0.378110940182764,"index"
"OR",2013,4738.22942224729,1737.79745151415,12919.1224433483,8.46341880529555,0.511767081081411,"index"
"OR",2014,2054.32874928911,898.085889082431,4699.17928948597,7.6277044308893,0.422170370899447,"index"
"OR",2015,1236.30359575517,493.020973506218,3100.16543516864,7.11988123548974,0.469054292320959,"index"
"OR",2016,10100.0701928256,4781.00408309162,21336.8188202923,9.22029765258991,0.381584455550636,"index"
"OR",2017,2876.34787814065,1344.54982821284,6153.26925226794,7.96427667054568,0.387998014630009,"index"
"OR",2018,3675.76294600427,1771.57425715971,7626.68185124794,8.20951599445504,0.372400798744878,"index"
"OR",2019,2646.1234614172,1085.3727528677,6451.21167319007,7.88085100323006,0.454688071951811,"index"
"OR",2021,596.497239999675,240.798640600888,1477.62029070989,6.39107461453594,0.462821538363745,"index"
"OR",2022,586.747021905641,227.826761693322,1511.11337911463,6.37459375914201,0.48266613243481,"index"
"OR",2023,1160.53183128088,561.089034607026,2400.39289372221,7.05663365427489,0.37079969841944,"index"
"OR",2024,2748.18899438194,1330.92875641185,5674.64089453104,7.91869742622549,0.369937989342883,"index"
"CA",2003,943.262207223135,356.71658230064,2494.25912817697,6.84934430042316,0.496132953830795,"index"
"CA",2004,391.865100401057,117.732743283808,1304.29524216692,5.97091764893363,0.61353192717588,"index"
"CA",2005,456.757963058026,177.633675621404,1174.48358869504,6.12415362927807,0.481860998038132,"index"
"CA",2006,396.136474316185,177.130789535957,885.922242512231,5.98175878399405,0.410655709343056,"index"
"CA",2007,362.559066079878,161.165617461366,815.614884038304,5.89318740193131,0.413658052998069,"index"
"CA",2008,168.544665972121,66.3640369261579,428.052688525599,5.12720079461818,0.475542155249061,"index"
"CA",2009,771.267123112359,364.484633113845,1632.03855842179,6.64803477673957,0.382430693064605,"index"
"CA",2010,776.378271439863,344.46868639434,1749.83458343705,6.65463986460733,0.414618166712397,"index"
"CA",2011,1304.49196003284,584.60356779578,2910.86022654034,7.17356894130201,0.409515170689562,"index"
"CA",2012,356.070044095707,164.307115980552,771.639594217733,5.87512746457651,0.394594051560906,"index"
"CA",2013,2326.06082612282,830.866836313201,6511.94479109482,7.75193148326241,0.525245338423723,"index"
"CA",2014,1012.90107350343,445.448155215171,2303.22782279524,6.92057384252379,0.419136771512895,"index"
"CA",2015,595.739869502976,219.914147134025,1613.838840023,6.38980411122324,0.508461833582206,"index"
"CA",2016,5123.74493075082,2306.14475099323,11383.8310037078,8.54164088245496,0.407307694646508,"index"
"CA",2017,1415.3291389308,663.080287353509,3020.98646229045,7.25511739004676,0.386854715754569,"index"
"CA",2018,1813.25004901232,850.586129445097,3865.42364897028,7.50287612127362,0.386206303456074,"index"
"CA",2019,1346.56525351027,547.298193623631,3313.07138062314,7.20531237265209,0.459354652499994,"index"
"CA",2021,286.960950785345,113.300322525667,726.799230928709,5.65934614652125,0.474143473640134,"index"
"CA",2022,282.274929544383,111.034208092496,717.608899258419,5.64288152346734,0.476051190725581,"index"
"CA",2023,578.789047899894,272.993189267761,1227.12498017777,6.36093807249796,0.383420935940151,"index"
"CA",2024,1384.38095048216,697.629043964144,2747.17721780572,7.23300835154095,0.349659917781991,"index"
"North of Point Conception",2003,3705.91042810661,1464.70662773906,9376.46614076493,8.21768423712705,0.47361788132565,"index"
"North of Point Conception",2004,1549.26608571505,470.783701620233,5098.36129858851,7.34553660469298,0.607734559298193,"index"
"North of Point Conception",2005,1799.44315882916,713.587644220272,4537.62857034219,7.49523253981773,0.471910341573258,"index"
"North of Point Conception",2006,1544.94189075547,706.827270677227,3376.84402516642,7.34274157746302,0.398964093538781,"index"
"North of Point Conception",2007,1411.68439479963,650.871796794356,3061.82083835236,7.25253887663881,0.395020619082085,"index"
"North of Point Conception",2008,666.754924648919,267.437449239057,1662.30320700598,6.50242254908497,0.466098791568974,"index"
"North of Point Conception",2009,2997.27273803201,1444.86070345232,6217.65395424246,8.0054580668571,0.372297591031202,"index"
"North of Point Conception",2010,3048.86315034225,1421.35941491173,6539.91271454177,8.02252406252483,0.389371968799773,"index"
