"year","gear_groups","fleet_groups","fish","hauls","trips","vessels","nsamp"
2004,"bottomtrawl","coastwide",57,12,11,9,19
2005,"bottomtrawl","coastwide",86,24,18,12,30
2006,"bottomtrawl","coastwide",9,6,6,4,7
2007,"bottomtrawl","coastwide",98,42,29,18,43
2007,"hook-and-line","coastwide",8,4,3,3,4
2008,"bottomtrawl","coastwide",113,45,28,18,44
2008,"hook-and-line","coastwide",3,1,1,1,1
2009,"bottomtrawl","coastwide",200,75,59,37,87
2010,"bottomtrawl","coastwide",98,35,25,19,39
2010,"hook-and-line","coastwide",2,2,2,2,2
2011,"bottomtrawl","coastwide",50,14,10,7,17
2012,"bottomtrawl","coastwide",7,4,4,4,5
2013,"bottomtrawl","coastwide",53,21,15,8,22
2013,"midwaterhake","coastwide",1,1,1,1,1
2014,"bottomtrawl","coastwide",48,23,18,10,25
2014,"hook-and-line","coastwide",1,1,1,1,1
2014,"midwaterhake","coastwide",27,3,3,3,7
2015,"bottomtrawl","coastwide",9,4,3,3,4
2015,"hook-and-line","coastwide",5,2,2,1,3
2016,"bottomtrawl","coastwide",17,14,13,9,15
2016,"hook-and-line","coastwide",23,9,3,2,6
2016,"midwaterrockfish","coastwide",1,1,1,1,1
2017,"bottomtrawl","coastwide",22,7,5,3,8
2017,"hook-and-line","coastwide",10,7,2,2,3
2018,"bottomtrawl","coastwide",4,4,4,4,5
2018,"hook-and-line","coastwide",20,6,3,2,6
2018,"midwaterhake","coastwide",4,3,3,1,4
2018,"midwaterrockfish","coastwide",73,18,8,2,18
2019,"bottomtrawl","coastwide",44,15,11,5,17
2019,"hook-and-line","coastwide",8,3,1,1,2
2019,"midwaterrockfish","coastwide",184,47,21,1,46
2020,"bottomtrawl","coastwide",38,19,14,9,19
2021,"bottomtrawl","coastwide",26,17,15,10,19
2022,"bottomtrawl","coastwide",25,15,13,9,16
2022,"hook-and-line","coastwide",8,6,6,2,7
2023,"bottomtrawl","coastwide",41,20,18,10,24
2023,"hook-and-line","coastwide",2,1,1,1,1
2023,"midwaterrockfish","coastwide",9,3,3,1,4
